"","...1","accuracy","seed","algorithm","dataset","task","SD"
"418",7,78.2710280373832,7,"wnll","musk","image",0
"419",8,81.7757009345794,8,"wnll","musk","image",0
"420",9,82.0093457943925,9,"wnll","musk","image",0
"421",0,78.5046728971963,0,"mean_shifted_laplace","musk","image",0
"422",1,82.4766355140187,1,"mean_shifted_laplace","musk","image",0
"423",2,82.2429906542056,2,"mean_shifted_laplace","musk","image",0
"424",3,81.7757009345794,3,"mean_shifted_laplace","musk","image",0
"425",4,78.9719626168224,4,"mean_shifted_laplace","musk","image",0
"426",5,82.2429906542056,5,"mean_shifted_laplace","musk","image",0
"427",6,84.5794392523364,6,"mean_shifted_laplace","musk","image",0
"428",7,80.3738317757009,7,"mean_shifted_laplace","musk","image",0
"429",8,80.8411214953271,8,"mean_shifted_laplace","musk","image",0
"430",9,82.2429906542056,9,"mean_shifted_laplace","musk","image",0
"431",0,75.4672897196262,0,"poissonmbo_old","musk","image",0
"432",1,80.607476635514,1,"poissonmbo_old","musk","image",0
"433",2,79.6728971962617,2,"poissonmbo_old","musk","image",0
"434",3,84.3457943925234,3,"poissonmbo_old","musk","image",0
"435",4,79.9065420560748,4,"poissonmbo_old","musk","image",0
"436",5,76.8691588785047,5,"poissonmbo_old","musk","image",0
"437",6,79.4392523364486,6,"poissonmbo_old","musk","image",0
"438",7,82.7102803738318,7,"poissonmbo_old","musk","image",0
"439",8,81.0747663551402,8,"poissonmbo_old","musk","image",0
"440",9,76.8691588785047,9,"poissonmbo_old","musk","image",0
"441",0,78.7383177570093,0,"poissonmbobalanced","musk","image",0
"442",1,78.0373831775701,1,"poissonmbobalanced","musk","image",0
